,SSIM_0_to_0,SSIM_0_to_1,SSIM_0_to_2,SSIM_0_to_3,SSIM_0_to_4,SSIM_0_to_5,SSIM_0_to_6,ID
0,1.0,0.8492410987523852,0.782699968164063,0.819582293238137,0.8007071957963862,0.8322765749334758,0.8580326760322219,13
2,1.0,0.698002570677167,0.7547195472937352,0.7547195472937352,0.7306213078160958,0.6972222849917428,0.7547195472937352,17
4,1.0,0.7146734917754223,0.6907877065870915,0.7146734917754223,0.7146734917754223,0.7221693084295726,0.7146734917754223,18
6,1.0,0.8461358235475582,0.8153341162460251,0.7996722999627643,0.7910618739681509,0.7928317557614621,0.8202844402266107,1
8,1.0,0.7592646506369568,0.7354023415308362,0.7530377930241091,0.774439852836851,0.7573506240379715,0.784049476936097,200
10,1.0,0.9125899222017793,0.8541912895331771,0.798962947276929,0.8076717861674216,0.8856308292746264,0.8856308292746264,204
12,1.0,0.7455552150325868,0.6726164126894345,0.7068703190469382,0.6623994603187888,0.7430538285706018,0.7836419402731679,210
14,1.0,0.7502598820186619,0.7062850386988233,0.7603295338684911,0.7617490437270933,0.7523622532978053,0.7804720663800835,212
16,1.0,0.6801653368581652,0.7634808954091938,0.6924847418762872,0.7129319702144119,0.7993769210580728,0.7993769210580728,217
18,1.0,0.7413351821169021,0.7118445804181424,0.7487033702343726,0.7048811945822322,0.7609577177665461,0.7858523256177337,219
20,1.0,0.8030926738653561,0.8069661320320641,0.7933253357564138,0.7849256919298706,0.759979670402083,0.8610925114820415,21
22,1.0,0.7244656208848899,0.7844676561190365,0.7891121340923118,0.7514571480815248,0.7754039055483771,0.8065402461572571,223
24,1.0,0.7489949862693309,0.8286221068959326,0.7943754769652314,0.8200973751841995,0.8023065040224242,0.8286221068959326,226
26,1.0,0.8036048988184439,0.7994047175711008,0.8403923191070761,0.8403923191070761,0.7832676840720636,0.8403923191070761,6
28,1.0,0.714137107953583,0.6508998230583476,0.6777067894337924,0.6592939152810817,0.7409961184248702,0.7938754582108221,72
30,1.0,0.7965312962122537,0.8007827955610459,0.7873031826920894,0.7788132714013727,0.7021646172567332,0.8147107686225287,80
